ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
27YvhBAgj7aBZfCS5BWjAEhQQZRSQQEy8LLPPvgyMWUV,cex,deposit_wallet,gate.io deposit_wallet,gate.io
4oQ5ovpreqV8XAwPRxay5g9q9Xvw4AAP5MY9SRfDp6Lh,cex,deposit_wallet,coinbase deposit_wallet,coinbase
GVyZSCtmpWnAiPHzaFGhHdGf2qGUuQseJ7K4VbLb3og2,cex,deposit_wallet,huobi global deposit_wallet,huobi global
5ZXD5o4yZpBSxwEuThyeWyG32rskfeBzPjdsnN4t2f9v,cex,deposit_wallet,coinbase deposit_wallet,coinbase
FfrjvcrcmtNW8HGoEH3jBT8dcMmdtTjLPDHVL1pbWtN7,cex,deposit_wallet,bybit deposit_wallet,bybit
Aj9srmdxCXiasycgZGSJf9i3JyvS4LrNT2m6dv9k382G,cex,deposit_wallet,binance deposit_wallet,binance
FN2XrBYFs383ZHwpPAwAYfgfym2AaWPkQ6jnUqYdonzC,cex,deposit_wallet,bybit deposit_wallet,bybit
DTnXYRtn7F7ohGhSwRDauEWSff5Y2zawbPE3ZS8VXrzw,cex,deposit_wallet,coinbase deposit_wallet,coinbase
3xB5LSJLHvu1wx2d9rTxyuv51NDaXF7ySCKsCMg7mZVL,cex,deposit_wallet,binance deposit_wallet,binance
2RJP24wwycxVHAUVp24iW88xXAUUQPoq2RYkmTffzNz6,cex,deposit_wallet,binance deposit_wallet,binance
FFx2AJw95YoVk3xv9LrYZKuFDjuKusWFMLCQ2tiKoxBq,cex,deposit_wallet,binance deposit_wallet,binance
485w7QrEMGh8FxFHsZCYNfznVznvcwy8G1sHXqDZ2Y9n,cex,deposit_wallet,crypto.com deposit_wallet,crypto.com
A4vCKPWHWJAWg9TUgg36ekGYbovfRGVn2A344nVfy4m8,cex,deposit_wallet,coinbase deposit_wallet,coinbase
Cwh1yNiezzwi33vjW55pSxcSMs5ed9vBSrXnDuxGPxFn,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
ELWQ6uGTfWtG8Ewcvbez4wufDMTmtaZDfHU37dbsAcP9,cex,deposit_wallet,binance deposit_wallet,binance
ZQgwCAcBiFrJCNHtN6CJ7MHnmSox9fDCtTGQXvxnaiX,cex,deposit_wallet,binance deposit_wallet,binance
14eJRdXzVn36o7pwxAqTv9ezWMBY4aDEVejv8bQtqVag,cex,deposit_wallet,bybit deposit_wallet,bybit
EfZSBemcWXEdYGFC2ujqCkFtyYcFvN5sBmLh2fYiMYJD,cex,deposit_wallet,gate.io deposit_wallet,gate.io
8Wa2eMgXPRSqo4f5mWNbsjbCgsuGsx2fLMupahEHCFoL,cex,deposit_wallet,coinbase deposit_wallet,coinbase
BZTxvYKRA1FH9N147H4tzyxLSDBATgQsK68uGhPZrLsi,cex,deposit_wallet,gate.io deposit_wallet,gate.io
4RHbW3oT8CfF7DrZyWqJHkgkN48gCw8a8D2v2SV41xzd,cex,deposit_wallet,binance deposit_wallet,binance
GD87aXeRF8dKvAgZUXzrNWtGZHcecN6sfmtPPoDHP5cK,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
4wbvXY5jpBGYMEaeWCgL8ncH3BA3Z9TPBjPQ7K37h3iK,cex,deposit_wallet,binance deposit_wallet,binance
HobVQEzUqBtWgfegMPfYUjiJc6aPzKBPwewWG1boKzS3,cex,deposit_wallet,gate.io deposit_wallet,gate.io
6Cgynhcev882V9224dgur6pHnQieAJR98PzqKirzuJUD,cex,deposit_wallet,gate.io deposit_wallet,gate.io
9QRSvaBWabhjTmwjdjTLf1xoSaFsVJiB7fv15xh5Fgxq,cex,deposit_wallet,binance deposit_wallet,binance
BhPNamRJqcgUNxVYJcJecWmWy4htt9uFHUbVwMcKHnAy,cex,deposit_wallet,gate.io deposit_wallet,gate.io
7XjA3CdvrXdbAWnYXnbHdqAHuPTPPdozKQZScdVJTpMr,cex,deposit_wallet,bybit deposit_wallet,bybit
HNRscuZwfWKum8YuF5SKx6DpQrGmFyHqfXZJinwsCQLx,cex,deposit_wallet,coinbase deposit_wallet,coinbase
78m8kfYfrJ2iogoNLQ7w46p28WWbvzeR7b9WutbGo2v2,cex,deposit_wallet,kucoin deposit_wallet,kucoin
5XvbUaK28pDuqEfUWCE1EYrMwhgFvWHsDgBanu48jvS3,cex,deposit_wallet,gate.io deposit_wallet,gate.io
F2z6zTNuYVS1ABvuwbxgD5YNJxF2UTp8Bjc7SJmzNjj4,cex,deposit_wallet,coinbase deposit_wallet,coinbase
2weCwHX6YgJhxUcZb69pExZhWqoxvD3cmBpRavsUUbsf,cex,deposit_wallet,binance deposit_wallet,binance
AJdaiGNnDFxWeYP4xqq6VDHsiWJKgL3zfcsEtX2gKm9S,cex,deposit_wallet,coinbase deposit_wallet,coinbase
