address,chain,source,name,label_type,label_subtype,project,entity_type,entity_types
7PsbGVN9rjZ9hETNRxdaAUZj8KipsG4C2DeMrHwkpuzL,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PseJU2AkmbwJW5KiFXF7Yx7mj5Dtxug84fu4b4BoqCh,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PsuQZCaJ9D4C3DA3qkUztdsc1GJFvJFva1xgHS69Ju8,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7Pt2FZCxAUDqQBxxppwFSVvw2wG2sTk1W3REGzk68PFf,solana,solana_cex,bitfinex deposit_wallet,cex,deposit_wallet,bitfinex,exchange,
7PtJb5krCgHXdRQ9xeawD8Q1d9LxvHWzv2tSNmSC5Te,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7PtZ89sNNF5FEVBSR6U6ksChh5mdjNs3bhfdrqrpWnq,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7Ptn8G3vN29ELAqAgKBTQmTC9yAPpxDNrVP67JQ3vdXF,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PuzDvX9wDSrhdkVnyJvyd5xW3XoQNZ2YymwX5EvaFE3,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7Pvosymwp5Xe4uGD3hcZSbYdymB3FTtktPjtHhfi4A8P,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7PwGFJ9dZjyAW1wDuwJzBWpFaZYyx2GSVUXUERgVL95x,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PwVUgkA34YQ2JeXkStquF55Zescg8SYtAozyFLkSWHx,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7Pwyg5hzEUCrPZqQTKop1LruZR2LDkHyHD5hZGFeX7Vp,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PyK2u3ns8hKScnJy77qBhBnR2CHi5VZvmRRP2MFXMpS,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7PydQKtonvWUkMUor6pDphUbT1AGMrTjkvz6KBbjZKQ6,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7PzDMjXG4gkkgxhsvC8v6hG7h2Yb2uhRvGEVS42ebE5R,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7Q1DwDwR3bK2yGeqNJN8eoC8g1QcDmJXSonndtMvLs1x,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7Q1VpHp4GDbmeiEKY33HQU1uhU1f8ZmQHAhHjYhYPKFt,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7Q1jbJye2d41N6Nxac6GGsKTDuhv23YAaEBakHeTnQp7,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7Q2aCkXutCYaa7uofJxVT6Wbjt698gAu4R4TjWZjFGVq,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7Q3PmxQLhSgsS9c3Eo2RpLktu6UrXzZqYEXbPjXmwBbk,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7Q3jiLM1LjSPbBwj9gaBAxjHyi3Yr3ZmcFvVhWaSN4dK,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7Q47TKB5WLouHNvCuJ2CY2FMjSzBhrygmBeNWxVE9Sju,solana,solana_cex,okx deposit_wallet,cex,deposit_wallet,okx,exchange,
7Q4TWgvop3m1aypDde1PbWAfWFJY35sCHHiZUBZrztBQ,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7Q5K1yCu6T3VVEo5zGd4VD5LBwKcsKvKDK2YAiHBFp7a,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7Q5dAG9BLFqYQCA1AaquU2BLqgJZHzVD7sMWFYAhTY83,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7Q6CQZnq6iwkwuw6TdwY3uNcvQgDtBhD1KyEXZsgropk,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7Q79vhV5c1XuuDDRwMBybeHr5b1FR2bzX5XUB5djQWmJ,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7Q7QqHdpMpmFPMQdPKfc8D279MGy9RZ2ngdUF4RZZ1ZM,solana,solana_dapp,test-attack,dapp,governance,test-attack,dapp,
7Q7VbmyJ5foSfD11buQ7cr83W7f5ZzinRvw9TARTB1UF,solana,solana_cex,mexc deposit_wallet,cex,deposit_wallet,mexc,exchange,
7Q7t7qfPHfYMN6X6B3YMKWCcMbnGHoWm2jthCrGKuwcd,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7Q8KTUoWU2pZxLWCuzFsBbGesEHXjAr3Tgbwwuc1YEYE,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7Q927eZGkfTvkj84KwdmFeuH1JtvN6QvUMNvjEUGemaQ,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7Q9hygfeyPyzKd6KHE5sTsSHH1qhbmV6BhiQzmrsPhoo,solana,solana_cex,ftx deposit_wallet,cex,deposit_wallet,ftx,exchange,
7QAUPa49sq5DKyxn5MqKpbUnTKFY5TesL5ahZuFtAtQn,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7QBbDXUgJTqVcT466bQQ19jFasaEj1Eq9dGzbUDCUtbX,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7QBze4MHYcfkhRFRFbQSWny6sbActQTtQ21WSKubFW9q,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7QCFAqRkj8Amf7ms8e2PkPA2SD3XwWE8ktk4p545Lqsj,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7QCreMAtLP5kUnW1yAD3YFjDPoKHmReKiTo85zg4RuyB,solana,solana_cex,crypto.com deposit_wallet,cex,deposit_wallet,crypto.com,exchange,
7QD4G1ea7PmAnq46aCPt9NPtTUehdUM358axog9ZDNcg,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7QDEu5F9297GuVVq4PWLC1NSz3AaYqFQbepqXj1YzMd4,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7QDxLoTSNy3ubUNT3A9Y6FnqzBxjmZyA28oEf4CZcVcZ,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7QE92PGvAGAJD75wdDEmkosG2Gb6cDShyqXhUxAP9WEP,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7QEBxrjMidPyHNdxZTGK1QsHCVWGoAiiCVee5ZTTTJ52,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7QFVa5BbUe1NhExsGELaP4YqCG5DxxyuLZG3VE5mbYeb,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7QFea2TD2CqGVcpkB5QFvTSLDWZY5Ebav1WVB8uw9p6G,solana,solana_dapp,nx dao,dapp,governance,nx dao,dapp,
7QGAtjsZHLQH35XJJiksCuKCD6QwHjSrcHsqQB5Lv4vT,solana,solana_cex,crypto.com deposit_wallet,cex,deposit_wallet,crypto.com,exchange,
7QJ7kABT2qHi9zadc4msvwJBhTJPXjPUwWW7JnznYZdx,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7QJuFLpQxnfK69sgboqnA4HwB8YgT6sNGjTSRJou9QES,solana,solana_cex,ftx deposit_wallet,cex,deposit_wallet,ftx,exchange,
7QL1iEr9B3Bhgp8iAphGebnTFrfpV9UP626on9FxzAFj,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7QL3fCXFsTY18mfmPj9PQEvg1AV1SajkmkLCUuS4TL2n,solana,solana_defi,kamino: kmno/sol strategy address,defi,router,kamino,defi,
7QLDUxSSzEvStGJEH64kCWkcq5ztEUUxvnfUsML3uBLw,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7QM9y3QuSSRQkjHDEttQFmFVxcJeuD3s2TfjjKVkhsL1,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7QMeiHT4vVptnh7DXuAbUhE5LNLtzGHU3X6FgmtdHuUG,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
